Smote,Class,Accuracy_test,F1_Score_test,Precision_test,Recall_test
0.107857142857,AdaBoostClassifier,0.9485720538352117,0.2791411042944785,0.3991228070175439,0.21462264150943397
0.107857142857,LogisticRegression,0.9495568442936864,0.017057569296375266,0.08888888888888889,0.009433962264150943
0.107857142857,RandomForestClassifier,0.9572163256373782,0.2903811252268603,0.6299212598425197,0.18867924528301888
0.107857142857,SVC,0.9504322135901083,0.0,0.0,0.0
0.107857142857,XGBClassifier,0.9626873837400153,0.40488656195462475,0.7785234899328859,0.27358490566037735
0.125,AdaBoostClassifier,0.9435386803807857,0.27932960893854747,0.3424657534246575,0.2358490566037736
0.125,LogisticRegression,0.9485720538352117,0.01673640167364017,0.07407407407407407,0.009433962264150943
0.125,RandomForestClassifier,0.9555750082065871,0.2975778546712803,0.5584415584415584,0.2028301886792453
0.125,SVC,0.9502133712660028,0.0,0.0,0.0
0.125,XGBClassifier,0.9610460663092242,0.4006734006734007,0.7,0.2806603773584906
0.065,AdaBoostClassifier,0.953933690775796,0.2130841121495327,0.5135135135135135,0.13443396226415094
0.065,LogisticRegression,0.9463836305941569,0.016064257028112452,0.05405405405405406,0.009433962264150943
0.065,RandomForestClassifier,0.9583105372579057,0.2658959537572254,0.7263157894736842,0.16273584905660377
0.065,SVC,0.9508698982383192,0.0,0.0,0.0
0.065,XGBClassifier,0.9614837509574352,0.33333333333333337,0.8461538461538461,0.20754716981132076
0.0778571428571,AdaBoostClassifier,0.954371375424007,0.24864864864864863,0.5267175572519084,0.16273584905660377
0.0778571428571,LogisticRegression,0.9460553671079986,0.015968063872255488,0.05194805194805195,0.009433962264150943
0.0778571428571,RandomForestClassifier,0.9583105372579057,0.30091743119266057,0.6776859504132231,0.19339622641509435
0.0778571428571,SVC,0.950541634752161,0.0,0.0,0.0
0.0778571428571,XGBClassifier,0.9621402779297517,0.36162361623616235,0.8305084745762712,0.23113207547169812
0.103571428571,AdaBoostClassifier,0.9478061057008426,0.2627511591962906,0.3811659192825112,0.20047169811320756
0.103571428571,LogisticRegression,0.949338001969581,0.016985138004246284,0.0851063829787234,0.009433962264150943
0.103571428571,RandomForestClassifier,0.9576540102855893,0.3076923076923077,0.6370370370370371,0.2028301886792453
0.103571428571,SVC,0.9504322135901083,0.0,0.0,0.0
0.103571428571,XGBClassifier,0.9612649086333297,0.37894736842105264,0.7397260273972602,0.25471698113207547
0.120714285714,AdaBoostClassifier,0.9423350475982055,0.2670375521557719,0.3254237288135593,0.22641509433962265
0.120714285714,LogisticRegression,0.9478061057008426,0.016494845360824743,0.06557377049180328,0.009433962264150943
0.120714285714,RandomForestClassifier,0.9572163256373782,0.3152364273204904,0.6122448979591837,0.21226415094339623
0.120714285714,SVC,0.9504322135901083,0.0,0.0,0.0
0.120714285714,XGBClassifier,0.9615931721194879,0.40609137055837563,0.718562874251497,0.2830188679245283
0.0692857142857,AdaBoostClassifier,0.9536054272896378,0.2262773722627737,0.5,0.14622641509433962
0.0692857142857,LogisticRegression,0.9462742094321042,0.012072434607645876,0.0410958904109589,0.007075471698113208
0.0692857142857,RandomForestClassifier,0.9574351679614838,0.2618595825426945,0.6699029126213593,0.16273584905660377
0.0692857142857,SVC,0.9507604770762665,0.0,0.0,0.0
0.0692857142857,XGBClassifier,0.9615931721194879,0.3512014787430684,0.811965811965812,0.2240566037735849
0.0821428571429,AdaBoostClassifier,0.9532771638034796,0.2442477876106195,0.48936170212765956,0.16273584905660377
0.0821428571429,LogisticRegression,0.9492285808075281,0.008547008547008546,0.045454545454545456,0.0047169811320754715
0.0821428571429,RandomForestClassifier,0.9582011160958529,0.29259259259259257,0.6810344827586207,0.18632075471698112
0.0821428571429,SVC,0.9506510559142138,0.0,0.0,0.0
0.0821428571429,XGBClassifier,0.9622496990918044,0.3669724770642202,0.8264462809917356,0.2358490566037736
0.0735714285714,AdaBoostClassifier,0.9538242696137433,0.22140221402214022,0.5084745762711864,0.14150943396226415
0.0735714285714,LogisticRegression,0.9478061057008426,0.012422360248447206,0.05084745762711865,0.007075471698113208
0.0735714285714,RandomForestClassifier,0.9575445891235365,0.2595419847328244,0.68,0.16037735849056603
0.0735714285714,SVC,0.9506510559142138,0.0,0.0,0.0
0.0735714285714,XGBClassifier,0.9617025932815406,0.3518518518518519,0.8189655172413793,0.2240566037735849
0.0907142857143,AdaBoostClassifier,0.9497756866177919,0.27258320126782887,0.41545893719806765,0.2028301886792453
0.0907142857143,LogisticRegression,0.9472589998905788,0.012295081967213116,0.046875,0.007075471698113208
0.0907142857143,RandomForestClassifier,0.9561221140168509,0.2722323049001814,0.5905511811023622,0.17688679245283018
0.0907142857143,SVC,0.9506510559142138,0.0,0.0,0.0
0.0907142857143,XGBClassifier,0.9621402779297517,0.37090909090909085,0.8095238095238095,0.24056603773584906
0.095,AdaBoostClassifier,0.9520735310208994,0.2866449511400651,0.4631578947368421,0.20754716981132076
0.095,LogisticRegression,0.9463836305941569,0.012096774193548387,0.041666666666666664,0.007075471698113208
0.095,RandomForestClassifier,0.9565597986650618,0.26887661141804786,0.6134453781512605,0.1721698113207547
0.095,SVC,0.950541634752161,0.0,0.0,0.0
0.095,XGBClassifier,0.9627968049020681,0.3906810035842294,0.8134328358208955,0.25707547169811323
0.112142857143,AdaBoostClassifier,0.9446328920013131,0.2792022792022792,0.35251798561151076,0.23113207547169812
0.112142857143,LogisticRegression,0.949338001969581,0.01279317697228145,0.06666666666666667,0.007075471698113208
0.112142857143,RandomForestClassifier,0.9572163256373782,0.32702237521514627,0.6050955414012739,0.2240566037735849
0.112142857143,SVC,0.9504322135901083,0.0,0.0,0.0
0.112142857143,XGBClassifier,0.9620308567676988,0.41876046901172526,0.7225433526011561,0.294811320754717
0.116428571429,AdaBoostClassifier,0.9456176824597877,0.27656477438136823,0.3612167300380228,0.2240566037735849
0.116428571429,LogisticRegression,0.9487908961593172,0.01680672268907563,0.07692307692307693,0.009433962264150943
0.116428571429,RandomForestClassifier,0.9567786409891673,0.31064572425828973,0.5973154362416108,0.2099056603773585
0.116428571429,SVC,0.9503227924280556,0.0043859649122807015,0.03125,0.0023584905660377358
0.116428571429,XGBClassifier,0.9615931721194879,0.3937823834196891,0.7354838709677419,0.2688679245283019
0.0864285714286,AdaBoostClassifier,0.951417004048583,0.26973684210526316,0.44565217391304346,0.19339622641509435
0.0864285714286,LogisticRegression,0.9478061057008426,0.008316008316008315,0.03508771929824561,0.0047169811320754715
0.0864285714286,RandomForestClassifier,0.957325746799431,0.28308823529411764,0.6416666666666667,0.18160377358490565
0.0864285714286,SVC,0.9506510559142138,0.0,0.0,0.0
0.0864285714286,XGBClassifier,0.9619214356056461,0.3555555555555555,0.8275862068965517,0.22641509433962265
0.0992857142857,AdaBoostClassifier,0.9502133712660028,0.2673107890499195,0.4213197969543147,0.1957547169811321
0.0992857142857,LogisticRegression,0.9457271036218404,0.015873015873015872,0.05,0.009433962264150943
0.0992857142857,RandomForestClassifier,0.9563409563409564,0.28108108108108104,0.5954198473282443,0.18396226415094338
0.0992857142857,SVC,0.950541634752161,0.0,0.0,0.0
0.0992857142857,XGBClassifier,0.9629062260641208,0.3978685612788632,0.8057553956834532,0.2641509433962264
